key,date,time_rd,lottery,draw,result,best_signal,best_a11,ok_alert,decision,hits_quiniela_topq,hits_quiniela_top12,pale_hits,source_rows_hist_used
2026-05-03|La Primera|Quiniela La Primera|2026-05-03 12:00,2026-05-03,2026-05-03 12:00,La Primera,Quiniela La Primera,24-37-89,0.01971384230081968,2,False,❌ NO JUGAR,1,1,0,534.0
2026-05-03|La Suerte|Quiniela La Suerte|2026-05-03 12:30,2026-05-03,2026-05-03 12:30,La Suerte,Quiniela La Suerte,82-54-32,0.033579023420843554,3,False,❌ NO JUGAR,0,0,0,1074.0
2026-05-03|La Nacional|Loteria Nacional- Gana Más|2026-05-03 14:30,2026-05-03,2026-05-03 14:30,La Nacional,Loteria Nacional- Gana Más,36-59-21,0.01873875851487426,3,False,❌ NO JUGAR,0,0,0,2148.0
2026-05-04|La Primera|Quiniela La Primera|2026-05-04 12:00,2026-05-04,2026-05-04 12:00,La Primera,Quiniela La Primera,94-23-70,0.01971384230081968,2,False,❌ NO JUGAR,0,1,0,534.0
2026-05-04|Anguilla|Anguila 1PM|2026-05-04 13:00,2026-05-04,2026-05-04 13:00,Anguilla,Anguila 1PM,60-22-87,0.014294195012651419,3,False,❌ NO JUGAR,0,2,0,1614.0
2026-05-04|La Nacional|Loteria Nacional- Gana Más|2026-05-04 14:30,2026-05-04,2026-05-04 14:30,La Nacional,Loteria Nacional- Gana Más,76-62-19,0.002581741599776039,7,False,❌ NO JUGAR,0,1,0,1505.0
2026-05-04|Anguilla|Anguila 6PM|2026-05-04 18:00,2026-05-04,2026-05-04 18:00,Anguilla,Anguila 6PM,33-42-87,0.009274589630102702,3,False,❌ NO JUGAR,0,0,0,2400.0
2026-05-04|La Suerte|Quiniela La Suerte 6PM|2026-05-04 18:00,2026-05-04,2026-05-04 18:00,La Suerte,Quiniela La Suerte 6PM,46-23-40,0.01639976429901607,3,False,❌ NO JUGAR,0,1,0,2400.0
2026-05-04|La Primera|Quiniela La Primera Noche|2026-05-04 19:00,2026-05-04,2026-05-04 19:00,La Primera,Quiniela La Primera Noche,11-21-78,0.028583285135874912,2,False,❌ NO JUGAR,0,0,0,2400.0
2026-05-04|Anguilla|Anguila 9PM|2026-05-04 21:00,2026-05-04,2026-05-04 21:00,Anguilla,Anguila 9PM,69-92-80,0.03275645558305953,3,False,❌ NO JUGAR,0,1,0,2400.0
2026-05-04|La Nacional|Loteria Nacional- Noche|2026-05-04 21:00,2026-05-04,2026-05-04 21:00,La Nacional,Loteria Nacional- Noche,23-77-78,0.018939671345848747,4,False,❌ NO JUGAR,0,0,0,2400.0
2026-05-05|Anguilla|Anguila 1PM|2026-05-05 13:00,2026-05-05,2026-05-05 13:00,Anguilla,Anguila 1PM,11-84-32,0.013302490913821697,3,False,⚠️ JUGAR,1,2,0,1614.0
2026-05-05|La Nacional|Loteria Nacional- Gana Más|2026-05-05 14:30,2026-05-05,2026-05-05 14:30,La Nacional,Loteria Nacional- Gana Más,68-50-93,0.01873875851487426,3,False,⚠️ JUGAR,0,0,0,2148.0
2026-05-05|Anguilla|Anguila 6PM|2026-05-05 18:00,2026-05-05,2026-05-05 18:00,Anguilla,Anguila 6PM,56-67-17,0.007809793407230459,2,False,❌ NO JUGAR,0,0,0,2400.0
2026-05-05|La Suerte|Quiniela La Suerte 6PM|2026-05-05 18:00,2026-05-05,2026-05-05 18:00,La Suerte,Quiniela La Suerte 6PM,48-22-86,0.0129918281905311,2,False,❌ NO JUGAR,0,0,0,2400.0
2026-05-05|La Primera|Quiniela La Primera Noche|2026-05-05 19:00,2026-05-05,2026-05-05 19:00,La Primera,Quiniela La Primera Noche,09-37-23,,,False,❌ NO JUGAR,0,0,0,0.0
2026-05-06|La Primera|Quiniela La Primera|2026-05-06 12:00,2026-05-06,2026-05-06 12:00,La Primera,Quiniela La Primera,47-32-09,0.01971384230081968,2,False,⚠️ JUGAR,0,0,0,534.0
2026-05-06|La Suerte|Quiniela La Suerte|2026-05-06 12:30,2026-05-06,2026-05-06 12:30,La Suerte,Quiniela La Suerte,91-33-53,0.0336743690445867,3,False,🔥 JUGAR AGRESIVO,0,0,0,1074.0
2026-05-06|Anguilla|Anguila 1PM|2026-05-06 13:00,2026-05-06,2026-05-06 13:00,Anguilla,Anguila 1PM,72-53-83,0.012773586558835662,3,False,⚠️ JUGAR,0,0,0,1614.0
2026-05-06|La Nacional|Loteria Nacional- Gana Más|2026-05-06 14:30,2026-05-06,2026-05-06 14:30,La Nacional,Loteria Nacional- Gana Más,74-65-02,0.013859691593483442,2,False,❌ NO JUGAR,0,1,0,2148.0
2026-05-06|Anguilla|Anguila 6PM|2026-05-06 18:00,2026-05-06,2026-05-06 18:00,Anguilla,Anguila 6PM,70-11-91,0.007809793407230459,2,False,❌ NO JUGAR,0,1,0,2400.0
2026-05-06|La Suerte|Quiniela La Suerte 6PM|2026-05-06 18:00,2026-05-06,2026-05-06 18:00,La Suerte,Quiniela La Suerte 6PM,11-33-28,0.0129918281905311,2,False,❌ NO JUGAR,0,1,0,2400.0
