key,date,time_rd,lottery,draw,model_version,result,best_signal,best_a11,ok_alert,decision,hits_quiniela_topq,hits_quiniela_top12,hit_ranks,pale_hits,weekday,time_bucket,min_signal_threshold,min_a11_threshold,top12_detail,source_rows_hist_used
2026-08-09|La Primera|Quiniela La Primera|2026-08-09 12:00,2026-08-09,2026-08-09 12:00,La Primera,Quiniela La Primera,runner_v1_ensemble40_30_30_a11w010,16-24-63,0.010201503644498157,1,False,❌ NO JUGAR,0,0,[],0,6,morning,0.01,2,"[{""num"": ""80"", ""rank"": 1, ""final_score"": 0.25623280354416966, ""signal"": 0.0002328035441697265, ""a11"": 0, ""ensemble_score"": 0.39887373735233467, ""score_window"": 0.00046964153275285846, ""score_cond_mi"": 0.0, ""score_markov"": 0.05240174672489083, ""p_base"": 0.012751849018107626, ""mi"": 0.0007884481869790405, ""p_value"": 0.7047319684230371}, {""num"": ""09"", ""rank"": 2, ""final_score"": 0.13620150364449815, ""signal"": 0.010201503644498157, ""a11"": 1, ""ensemble_score"": 0.5065454545454546, ""score_window"": 0.06537014001941545, ""score_cond_mi"": 0.0, ""score_markov"": 0.013100436681222707, ""p_base"": 0.009946442234123947, ""mi"": 0.010214747267203058, ""p_value"": 0.0012965198607921217}, {""num"": ""14"", ""rank"": 3, ""final_score"": 0.13327283912765078, ""signal"": 0.007272839127650777, ""a11"": 1, ""ensemble_score"": 0.9562015347401437, ""score_window"": 0.057202094702434626, ""score_cond_mi"": 0.11243185392553275, ""score_markov"": 0.039301310043668124, ""p_base"": 0.01224177505738332, ""mi"": 0.007388866460856191, ""p_value"": 0.01570299501555342}, {""num"": ""99"", ""rank"": 4, ""final_score"": 0.1309869197934995, ""signal"": 0.004986919793499467, ""a11"": 1, ""ensemble_score"": 0.5602086026078226, ""score_window"": 0.049358832968854266, ""score_cond_mi"": 0.0, ""score_markov"": 0.039301310043668124, ""p_base"": 0.009181331293037491, ""mi"": 0.0053156207716707655, ""p_value"": 0.06183679993183258}, {""num"": ""12"", ""rank"": 5, ""final_score"": 0.1299234875644948, ""signal"": 0.0039234875644947684, ""a11"": 1, ""ensemble_score"": 0.42310679367321324, ""score_window"": 0.021842165449909967, ""score_cond_mi"": 0.0, ""score_markov"": 0.043668122270742356, ""p_base"": 0.009436368273399644, ""mi"": 0.0043792198725836375, ""p_value"": 0.10406700767458789}, {""num"": ""64"", ""rank"": 6, ""final_score"": 0.12956571177133577, ""signal"": 0.0035657117713357436, ""a11"": 1, ""ensemble_score"": 0.3805571922760924, ""score_window"": 0.0009563913066840447, ""score_cond_mi"": 0.06506585910129072, ""score_markov"": 0.021834061135371178, ""p_base"": 0.012496812037745473, ""mi"": 0.004068346309585979, ""p_value"": 0.12354762844694663}, {""num"": ""73"", ""rank"": 7, ""final_score"": 0.12809995910958202, ""signal"": 0.002099959109581991, ""a11"": 1, ""ensemble_score"": 0.47220360222761676, ""score_window"": 0.047040347179280406, ""score_cond_mi"": 0.0, ""score_markov"": 0.026200873362445413, ""p_base"": 0.009691405253761795, ""mi"": 0.002742808760161756, ""p_value"": 0.23437640272880453}, {""num"": ""83"", ""rank"": 8, ""final_score"": 0.026657936086240584, ""signal"": 0.0006579360862405835, ""a11"": 0, ""ensemble_score"": 0.3542665846265417, ""score_window"": 0.0001315872172481167, ""score_cond_mi"": 0.0002751317982391546, ""score_markov"": 0.048034934497816595, ""p_base"": 0.011731701096659015, ""mi"": 0.0015956746503716646, ""p_value"": 0.5876752907697462}, {""num"": ""87"", ""rank"": 9, ""final_score"": 0.02653862825828794, ""signal"": 0.0005386282582879409, ""a11"": 0, ""ensemble_score"": 0.3530714448480411, ""score_window"": 0.0011310729892350382, ""score_cond_mi"": 0.000805914252746604, ""score_markov"": 0.05240174672489083, ""p_base"": 0.009436368273399644, ""mi"": 0.0013920585776092814, ""p_value"": 0.613070694759857}, {""num"": ""10"", ""rank"": 10, ""final_score"": 0.026430018450111656, ""signal"": 0.0004300184501116525, ""a11"": 0, ""ensemble_score"": 0.3894511021344662, ""score_window"": 0.00023714687428133072, ""score_cond_mi"": 0.0, ""score_markov"": 0.05240174672489083, ""p_base"": 0.01224177505738332, ""mi"": 0.0011932341292268805, ""p_value"": 0.639619384344739}, {""num"": ""52"", ""rank"": 11, ""final_score"": 0.026410243767046003, ""signal"": 0.0004102437670460015, ""a11"": 0, ""ensemble_score"": 0.37897184037050496, ""score_window"": 0.00013424299233605864, ""score_cond_mi"": 0.000805914252746604, ""score_markov"": 0.05240174672489083, ""p_base"": 0.011476664116296864, ""mi"": 0.0011566189192374343, ""p_value"": 0.6453077498364996}, {""num"": ""18"", ""rank"": 12, ""final_score"": 0.02603686760628697, ""signal"": 3.6867606286968246e-05, ""a11"": 0, ""ensemble_score"": 0.3720451185893449, ""score_window"": 7.373521257393649e-06, ""score_cond_mi"": 0.0, ""score_markov"": 0.05240174672489083, ""p_base"": 0.011221627135934711, ""mi"": 0.0002286331203829109, ""p_value"": 0.8387477447483418}]",534.0
2026-08-09|La Suerte|Quiniela La Suerte|2026-08-09 12:30,2026-08-09,2026-08-09 12:30,La Suerte,Quiniela La Suerte,runner_v1_ensemble40_30_30_a11w010,37-85-82,0.015417619551002737,2,False,⚠️ JUGAR,0,0,[],0,6,morning,0.01,3,"[{""num"": ""63"", ""rank"": 1, ""final_score"": 0.3329363743281148, ""signal"": 0.0009363743281147999, ""a11"": 1, ""ensemble_score"": 0.5914908890651498, ""score_window"": 0.0576758953953178, ""score_cond_mi"": 0.000805914252746604, ""score_markov"": 0.04608294930875576, ""p_base"": 0.013558454847787157, ""mi"": 0.0015561485780251176, ""p_value"": 0.3982744698432735}, {""num"": ""38"", ""rank"": 2, ""final_score"": 0.21741761955100275, ""signal"": 0.015417619551002737, ""a11"": 2, ""ensemble_score"": 0.3637089802474901, ""score_window"": 0.0047980017115672215, ""score_cond_mi"": 0.0002751317982391546, ""score_markov"": 0.059907834101382486, ""p_base"": 0.01253517523663341, ""mi"": 0.015432127646733143, ""p_value"": 0.0009401228438825204}, {""num"": ""61"", ""rank"": 3, ""final_score"": 0.2153024909138217, ""signal"": 0.013302490913821697, ""a11"": 2, ""ensemble_score"": 0.7999886055532532, ""score_window"": 0.06576557253046864, ""score_cond_mi"": 0.11243185392553275, ""score_markov"": 0.02304147465437788, ""p_base"": 0.011000255819902788, ""mi"": 0.01333880545278112, ""p_value"": 0.0027224730946091135}, {""num"": ""53"", ""rank"": 4, ""final_score"": 0.107026674896317, ""signal"": 0.005026674896316971, ""a11"": 1, ""ensemble_score"": 0.34089173370763537, ""score_window"": 0.04168431102103551, ""score_cond_mi"": 0.0, ""score_markov"": 0.02304147465437788, ""p_base"": 0.008186236889229983, ""mi"": 0.005376191178461252, ""p_value"": 0.06501187746904431}, {""num"": ""86"", ""rank"": 5, ""final_score"": 0.10556571177133577, ""signal"": 0.0035657117713357436, ""a11"": 1, ""ensemble_score"": 0.5280206622611305, ""score_window"": 0.005892920291166995, ""score_cond_mi"": 0.11243185392553275, ""score_markov"": 0.03686635944700461, ""p_base"": 0.00920951650038373, ""mi"": 0.004068346309585979, ""p_value"": 0.12354762844694663}, {""num"": ""66"", ""rank"": 6, ""final_score"": 0.10519618553561282, ""signal"": 0.003196185535612829, ""a11"": 1, ""ensemble_score"": 0.4339138015656938, ""score_window"": 0.05638676398402704, ""score_cond_mi"": 0.0, ""score_markov"": 0.027649769585253458, ""p_base"": 0.007930416986441546, ""mi"": 0.0037385158278689205, ""p_value"": 0.14506566702573997}, {""num"": ""70"", ""rank"": 7, ""final_score"": 0.10297625184429264, ""signal"": 0.0009762518442926369, ""a11"": 1, ""ensemble_score"": 0.6100000000000001, ""score_window"": 0.07723187971149499, ""score_cond_mi"": 0.0, ""score_markov"": 0.03686635944700461, ""p_base"": 0.010232796111537478, ""mi"": 0.0016015400193017428, ""p_value"": 0.39042931645362566}, {""num"": ""56"", ""rank"": 8, ""final_score"": 0.004756730716297522, ""signal"": 0.0027567307162975167, ""a11"": 0, ""ensemble_score"": 0.3195350570915718, ""score_window"": 0.004268033591311835, ""score_cond_mi"": 0.004424201574134066, ""score_markov"": 0.05069124423963134, ""p_base"": 0.011511895625479662, ""mi"": 0.004332425890623576, ""p_value"": 0.3636981252780912}, {""num"": ""72"", ""rank"": 9, ""final_score"": 0.00430317941160592, ""signal"": 0.002303179411605916, ""a11"": 0, ""ensemble_score"": 0.3149869969434214, ""score_window"": 0.0016658660535129382, ""score_cond_mi"": 0.0002751317982391546, ""score_markov"": 0.055299539170506916, ""p_base"": 0.011511895625479662, ""mi"": 0.0038148600821992507, ""p_value"": 0.39626110473804255}, {""num"": ""07"", ""rank"": 10, ""final_score"": 0.0025386282582879408, ""signal"": 0.0005386282582879408, ""a11"": 0, ""ensemble_score"": 0.3881529679064203, ""score_window"": 0.000126074847010296, ""score_cond_mi"": 0.0, ""score_markov"": 0.06912442396313365, ""p_base"": 0.01330263494499872, ""mi"": 0.0013920585776092814, ""p_value"": 0.6130706947598571}, {""num"": ""18"", ""rank"": 11, ""final_score"": -0.1967898301033238, ""signal"": 0.0024101698966762313, ""a11"": 1, ""ensemble_score"": 0.32276687927450554, ""score_window"": 0.0005342282182621047, ""score_cond_mi"": 0.0, ""score_markov"": 0.05069124423963134, ""p_base"": 0.014325914556152468, ""mi"": 0.003029337618394235, ""p_value"": 0.20439046409300754}, {""num"": ""52"", ""rank"": 12, ""final_score"": -0.19707425038454762, ""signal"": 0.0021257496154523945, ""a11"": 1, ""ensemble_score"": 0.3703259585639467, ""score_window"": 0.005974064766056149, ""score_cond_mi"": 0.036309879276826384, ""score_markov"": 0.041474654377880185, ""p_base"": 0.011256075722691225, ""mi"": 0.0027712333796137585, ""p_value"": 0.2329229176112654}]",1068.0
2026-08-09|Anguilla|Anguila 1PM|2026-08-09 13:00,2026-08-09,2026-08-09 13:00,Anguilla,Anguila 1PM,runner_v1_ensemble40_30_30_a11w010,03-97-40,0.011013820479384036,3,False,⚠️ JUGAR,0,0,[],0,6,morning,0.01,3,"[{""num"": ""37"", ""rank"": 1, ""final_score"": 0.7690138204793842, ""signal"": 0.011013820479384036, ""a11"": 3, ""ensemble_score"": 0.6416089489060595, ""score_window"": 0.030990255204127633, ""score_cond_mi"": 0.036309879276826384, ""score_markov"": 0.05660377358490566, ""p_base"": 0.012082444918265814, ""mi"": 0.011199678221072637, ""p_value"": 0.016594917998528056}, {""num"": ""85"", ""rank"": 2, ""final_score"": 0.30810121946442626, ""signal"": 0.00010121946442627484, ""a11"": 1, ""ensemble_score"": 0.41189868285579734, ""score_window"": 0.028408111674141968, ""score_cond_mi"": 0.0, ""score_markov"": 0.0440251572327044, ""p_base"": 0.007818052594171997, ""mi"": 0.00035062009846793113, ""p_value"": 0.7113129998292648}, {""num"": ""67"", ""rank"": 3, ""final_score"": 0.18463792901216303, ""signal"": 0.006637929012163049, ""a11"": 2, ""ensemble_score"": 0.4708039198910724, ""score_window"": 0.05457860386952365, ""score_cond_mi"": 0.0, ""score_markov"": 0.012578616352201259, ""p_base"": 0.008528784648187633, ""mi"": 0.007032781791050324, ""p_value"": 0.05614460829564636}, {""num"": ""08"", ""rank"": 4, ""final_score"": 0.18418147235818727, ""signal"": 0.006181472358187291, ""a11"": 2, ""ensemble_score"": 0.6709090909090909, ""score_window"": 0.05651968937853279, ""score_cond_mi"": 0.0, ""score_markov"": 0.0440251572327044, ""p_base"": 0.012082444918265814, ""mi"": 0.006597329394950502, ""p_value"": 0.06303414789043305}, {""num"": ""01"", ""rank"": 5, ""final_score"": 0.18351734721115465, ""signal"": 0.005517347211154622, ""a11"": 2, ""ensemble_score"": 0.405760440495784, ""score_window"": 0.005656289563042267, ""score_cond_mi"": 0.07646105677176548, ""score_markov"": 0.018867924528301886, ""p_base"": 0.012082444918265814, ""mi"": 0.0060118084721741405, ""p_value"": 0.08224833896624435}, {""num"": ""81"", ""rank"": 6, ""final_score"": 0.18159722732782896, ""signal"": 0.003597227327828926, ""a11"": 2, ""ensemble_score"": 0.5807061750646791, ""score_window"": 0.006986930929586353, ""score_cond_mi"": 0.11243185392553275, ""score_markov"": 0.031446540880503145, ""p_base"": 0.013148542999289269, ""mi"": 0.0042665502953606535, ""p_value"": 0.15687684925677156}, {""num"": ""46"", ""rank"": 7, ""final_score"": 0.18159722732782896, ""signal"": 0.003597227327828926, ""a11"": 2, ""ensemble_score"": 0.47465884075770326, ""score_window"": 0.0008034690736973236, ""score_cond_mi"": 0.11243185392553275, ""score_markov"": 0.025157232704402517, ""p_base"": 0.010660980810234541, ""mi"": 0.0042665502953606535, ""p_value"": 0.15687684925677156}, {""num"": ""69"", ""rank"": 8, ""final_score"": 0.08053862583910065, ""signal"": 0.0025386258391006467, ""a11"": 1, ""ensemble_score"": 0.40032009321621165, ""score_window"": 0.042888676093373206, ""score_cond_mi"": 0.0, ""score_markov"": 0.018867924528301886, ""p_base"": 0.007462686567164179, ""mi"": 0.0031819833219827766, ""p_value"": 0.20218757227213777}, {""num"": ""78"", ""rank"": 9, ""final_score"": 0.080179192741888, ""signal"": 0.002179192741887998, ""a11"": 1, ""ensemble_score"": 0.406984919374796, ""score_window"": 0.00598475339134327, ""score_cond_mi"": 0.09103941451183603, ""score_markov"": 0.018867924528301886, ""p_base"": 0.00923951670220327, ""mi"": 0.0028300999007211704, ""p_value"": 0.2299944106804523}, {""num"": ""11"", ""rank"": 10, ""final_score"": 0.07907261267308927, ""signal"": 0.001072612673089268, ""a11"": 1, ""ensemble_score"": 0.41443325975505874, ""score_window"": 0.00026799688967758746, ""score_cond_mi"": 0.07646105677176548, ""score_markov"": 0.03773584905660377, ""p_base"": 0.009594882729211088, ""mi"": 0.0017111829984144504, ""p_value"": 0.3731747720243068}, {""num"": ""06"", ""rank"": 11, ""final_score"": 0.07883426295000101, ""signal"": 0.0008342629500009994, ""a11"": 1, ""ensemble_score"": 0.41563084540612727, ""score_window"": 0.0015828478226619757, ""score_cond_mi"": 0.11243185392553275, ""score_markov"": 0.012578616352201259, ""p_base"": 0.009950248756218905, ""mi"": 0.001438911309329282, ""p_value"": 0.420212389330741}, {""num"": ""76"", ""rank"": 12, ""final_score"": -0.020313715200510694, ""signal"": 0.0016862847994893097, ""a11"": 0, ""ensemble_score"": 0.37029227788191316, ""score_window"": 0.0006608302979343126, ""score_cond_mi"": 0.0002751317982391546, ""score_markov"": 0.06918238993710692, ""p_base"": 0.01101634683724236, ""mi"": 0.0030563012818894814, ""p_value"": 0.44825963020019854}]",1602.0
2026-08-09|La Nacional|Loteria Nacional- Gana Más|2026-08-09 14:30,2026-08-09,2026-08-09 14:30,La Nacional,Loteria Nacional- Gana Más,runner_v1_ensemble40_30_30_a11w010,03-18-04,0.004717628671674243,2,False,❌ NO JUGAR,0,0,[],0,6,afternoon,0.01,3,"[{""num"": ""40"", ""rank"": 1, ""final_score"": 0.38403647343487823, ""signal"": 3.6473434878239445e-05, ""a11"": 2, ""ensemble_score"": 0.5187629901021598, ""score_window"": 0.001917589634519572, ""score_cond_mi"": 0.0024605009753760998, ""score_markov"": 0.05747126436781609, ""p_base"": 0.013461214874642436, ""mi"": 0.00015462553418297414, ""p_value"": 0.7641176467330482}, {""num"": ""80"", ""rank"": 2, ""final_score"": 0.3330031291593628, ""signal"": 0.00020312915936274576, ""a11"": 2, ""ensemble_score"": 0.6244296844140119, ""score_window"": 0.039678038848469634, ""score_cond_mi"": 0.0003151061287164421, ""score_markov"": 0.03735632183908046, ""p_base"": 0.008749789668517584, ""mi"": 0.0004909157397470498, ""p_value"": 0.586223983228954}, {""num"": ""34"", ""rank"": 3, ""final_score"": 0.2840778924511378, ""signal"": 7.789245113777525e-05, ""a11"": 1, ""ensemble_score"": 0.3242829784481627, ""score_window"": 0.00024497923517908735, ""score_cond_mi"": 0.0013031392621863202, ""score_markov"": 0.040229885057471264, ""p_base"": 0.01127376745751304, ""mi"": 0.00026959877382947556, ""p_value"": 0.7110800986541461}, {""num"": ""57"", ""rank"": 4, ""final_score"": 0.2840596512153656, ""signal"": 5.965121536561872e-05, ""a11"": 1, ""ensemble_score"": 0.7725119210061108, ""score_window"": 0.03287435225030839, ""score_cond_mi"": 0.003907684208802395, ""score_markov"": 0.04885057471264368, ""p_base"": 0.009254585226316675, ""mi"": 0.00021243376242541592, ""p_value"": 0.7192008714407538}, {""num"": ""16"", ""rank"": 5, ""final_score"": 0.28401123486074586, ""signal"": 1.1234860745887283e-05, ""a11"": 1, ""ensemble_score"": 0.32978573628319685, ""score_window"": 0.0006870521783746636, ""score_cond_mi"": 0.0013977651710196989, ""score_markov"": 0.040229885057471264, ""p_base"": 0.01110550227158001, ""mi"": 7.245208996699629e-05, ""p_value"": 0.8449339314986629}, {""num"": ""63"", ""rank"": 6, ""final_score"": 0.2328005800056904, ""signal"": 5.80005690350975e-07, ""a11"": 1, ""ensemble_score"": 0.39831588090787345, ""score_window"": 0.0018181094102884007, ""score_cond_mi"": 0.00032962726002836536, ""score_markov"": 0.05747126436781609, ""p_base"": 0.01144203264344607, ""mi"": 9.802424119194353e-06, ""p_value"": 0.9408303820260896}, {""num"": ""82"", ""rank"": 7, ""final_score"": 0.18871762867167421, ""signal"": 0.004717628671674243, ""a11"": 0, ""ensemble_score"": 0.6390124105289855, ""score_window"": 0.0032462449425511293, ""score_cond_mi"": 0.007423707147558905, ""score_markov"": 0.04597701149425287, ""p_base"": 0.011610297829379102, ""mi"": 0.005787045838746924, ""p_value"": 0.18479500540888114}, {""num"": ""37"", ""rank"": 8, ""final_score"": 0.08288021724095174, ""signal"": 8.021724095175141e-05, ""a11"": 2, ""ensemble_score"": 0.32324765462743277, ""score_window"": 0.00019795306241918026, ""score_cond_mi"": 0.002186463006595491, ""score_markov"": 0.031609195402298854, ""p_base"": 0.011946828201245163, ""mi"": 0.0002619968453431154, ""p_value"": 0.6938236380415284}, {""num"": ""85"", ""rank"": 9, ""final_score"": 0.082814453997192, ""signal"": 1.4453997192026041e-05, ""a11"": 2, ""ensemble_score"": 0.3285377433796994, ""score_window"": 0.0017351721271708887, ""score_cond_mi"": 0.0026212680663194135, ""score_markov"": 0.031609195402298854, ""p_base"": 0.010264176341914857, ""mi"": 8.348172263857728e-05, ""p_value"": 0.8268603385844989}, {""num"": ""89"", ""rank"": 10, ""final_score"": -0.046, ""signal"": 0.0, ""a11"": 0, ""ensemble_score"": 0.3043859649122807, ""score_window"": 0.0, ""score_cond_mi"": 0.0, ""score_markov"": 0.04310344827586207, ""p_base"": 0.012451623759044253, ""mi"": 0.0, ""p_value"": 1.0}, {""num"": ""65"", ""rank"": 11, ""final_score"": -0.046, ""signal"": 0.0, ""a11"": 0, ""ensemble_score"": 0.2821637426900585, ""score_window"": 0.0, ""score_cond_mi"": 0.0, ""score_markov"": 0.04310344827586207, ""p_base"": 0.01110550227158001, ""mi"": 0.0, ""p_value"": 1.0}, {""num"": ""46"", ""rank"": 12, ""final_score"": -0.34719999999999995, ""signal"": 0.0, ""a11"": 0, ""ensemble_score"": 0.2887426900584795, ""score_window"": 0.0, ""score_cond_mi"": 0.0, ""score_markov"": 0.04885057471264368, ""p_base"": 0.009591115598182737, ""mi"": 0.0, ""p_value"": 1.0}]",1660.0
